BuildingID,BuildingName,BuildingType,Town,Latitude,Longitude,Technology,Vendor,Installation Date,On Air Date,BTS Present,BTS Name,MAIN FAT,Switch,BTS SiteID,Location,Status,SwitchIP
NBI140389,Victor House,Multi-Tenancy,Nairobi,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kimathi Street,,
KTL143210,Victor House Kitale,Multi-Tenancy,Kitale,,,Fiber,Masaba Services,10/02/2019 23:16,10/02/2019 23:16,,,24C,,,Post Office Road,Installed,
KSM143436,VICTORIA COMFORT INN KISUMU,Single-Tenancy,Kisumu,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,,,,Industrial Road,,
NBI242969,Victoria Commercial Bank Baba Dogo,Multi-Tenancy,Nairobi,,,Fiber,Decko Construction Limited,01/01/1900 00:00,01/01/1900 00:00,,,,,,BABA NDOGO RD,,
NBI140561,Victoria Furniture (CBD),Single-Tenancy,Nairobi,01.284361°,36.817959,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,No,,,,,CBD,,
NBI442695,Victoria Office Suites,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Riverside Drive,,
NBI240630,Victoria Plaza,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,No,,96C,Huawei S3300,,Parklands Road,Installed,10.163.71.178
NBI240146,Victoria Towers,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,Yes,Victoria Towers,,,Victoria Towers,"Kilimanjaro Avenue, Upperhill",Installed,
KKY143181,Victory Business Centre,Multi-Tenancy,Kikuyu,-1.244195,36.662823,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kikuyu,,
THK141816,VICTORY_PLAZA,Multi-Tenancy,Thika,"1° 2'9.35""S","37° 4'26.08""E",Fiber,Soliton Telmec,12/03/2017 03:47,01/01/1900 00:00,No,,96C FDT,,,Mama Ngina Drive,Installed,
NBI441983,VIENNA COURT,Single-Tenancy,Nairobi,,,Fiber,Huawei,05/07/2017 12:16,01/01/1900 00:00,,,12C,AR169F,,State House Crescent,Installed,
NBI140058,View Park Towers,Multi-Tenancy,Nairobi,S 1.282806°,E 36.816191°,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,Yes,View Park Towers,144C,,View Park Towers,"Utalii Lane, CBD",Installed,10.163.70.110
NBI140252,Vigilant House,Single-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,No,,24C,Huawei S3300,,Harambee Avenue,Installed,
VIH111232,VIHIGA LAW COURT,Single-Tenancy,Vihiga,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,VIHIGA,,
VIH143010,Vihiga Water Company,Single-Tenancy,Vihiga,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kakamega Kisumu Road,,
NBI240310,VIKING HOUSE,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,No,,48C,,,Waiyaki Way Westlands,Installed,10.163.71.22
UKD241584,Villa Apapa,Single-Tenancy,Ukunda,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,,,,Diani Beach Road,,
NBI240008,Villa Rosa - Kempinski,Single-Tenancy,Nairobi,-1.271209,36.808984,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,No,,,,,"Chiromo Road, Westlands",Accepted,10.160.24.9
NBI241095,Village Market,Multi-Tenancy,Nairobi,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Limuru Road,,
NBI542713,Village Market Annexe,Multi-Tenancy,Nairobi,-1.2286308,36.8050573,Fiber,Huawei,26/05/2018 13:46,26/05/2018 13:46,Yes,Village_Market_Micro,,Huawei S3300,Village_Market_Micro,Parklands Road,Installed,10.165.56.154
MER142162,VILLAGE_HOPE_CARE_INTERNATIONAL_CHOGORIA,Single-Tenancy,Meru,,,Fiber,Adrian Limited,27/08/2017 21:28,01/01/1900 00:00,No,,,,,CHOGORIA,Installed,
ELD142460,Vilma Plaza,Multi-Tenancy,Eldoret,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Ronald Ngala Steet,,
KLF241161,Vipingo Ridge,Multi-Tenancy,Kilifi,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,Yes,Vipingo,12C,AR169F,Vipingo,Mombasa Malindi Highway,Installed,
ELD142156,VISHVA,Multi-Tenancy,Eldoret,,,Fiber,Huawei,22/07/2017 12:19,01/01/1900 00:00,,,24C,,,Oginga Odinga Road,Installed,
NBI341393,Vishva business park,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,Mombasa Road,,
KTL142999,Vision Gate Hotel,Multi-Tenancy,Kitale,,,Fiber,Masaba Services,18/06/2018 16:45,18/06/2018 16:45,,,,,,Posta Road,Installed,
NBI243395,Vision Place Buruburu,Multi-Tenancy,Nairobi,,,Fiber,Decko Construction Limited,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Mumias Road, Buruburu",,
NBI241556,Vision Plaza - Buruburu,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,02/03/2018 19:37,02/03/2018 19:37,,,,,,Buru buru,Installed,
NBI241392,Vision Towers,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Muthithi Road,,
NBI240070,Visions Plaza,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,Yes,Vision Plaza,144C,,Vision Plaza,Mombasa Road,Installed,10.163.68.86
KSM143086,Vittoria Suites Kisumu,Single-Tenancy,Kisumu,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,,,,Ring Road,,
NBI442447,VIVID FEATURES SCHOOL LANE,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,School Lane No 22,,
KSM141368,Vivo Building,Single-Tenancy,Kisumu,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,Obote Road,,
NBI342789,Vivo Energy building Wilson,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Langata Rd,,
KSM241248,Vivo Energy Depot,Single-Tenancy,Kisumu,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,Oginga Odinga Drive,,
NBI342540,Vivo Energy JKIA,Single-Tenancy,Nairobi,,,Fiber,Adrian Limited,28/02/2018 17:39,28/02/2018 17:39,,,,,,JKIA Nairobi,Installed,
KSM142538,Vivo Energy KPC Kisumu,Single-Tenancy,Kisumu,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,12C,,,Kisumu,,
