District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,Province,OBJECTID
IGEMBE,108661,25083,100052,1448,5260,4401,199324,28356,16731,Meru,"(0.303772382, 38.05720532)",EASTERN,29
IJARA,352617,323676,348648,1740,8096,1,25439,3279,422,Garissa,"(-1.427885086, 40.73455516)",NORTH EASTERN,30
IMENTI NORTH,84555,72865,46724,49,2371,4320,212865,49956,10158,Meru,"(0.083380846, 37.43552549)",EASTERN,31
IMENTI SOUTH,54240,15755,40921,4,409,1822,123687,35025,17377,Meru,"(-0.122681965, 37.60133849)",EASTERN,32
ISIOLO,101525,152164,166549,9957,11874,115,20261,5696,1012,Isiolo,"(1.255057085, 38.46170147)",EASTERN,33
KAJIADO CENTRAL,95534,218961,270148,472,31564,355,39657,7453,2680,Kajiado,"(-2.133910157, 36.89341002)",RIFE VALLEY,34
KAJIADO NORTH,151295,314080,236790,991,2113,5321,150216,257367,3486,Kajiado,"(-1.646437311, 36.44660994)",RIFE VALLEY,35
KAKAMEGA CENTRAL,65044,12219,12864,2004,785,2705,277667,23486,1479,Kakamega,"(0.350512813, 34.6856109)",WESTERN,36
KAKAMEGA EAST,43994,7662,3450,,458,6198,154080,11131,2799,Kakamega,"(0.273804872, 34.85789384)",WESTERN,37
KAKAMEGA NORTH,63536,10644,11670,4,991,567,214560,9276,2634,Kakamega,"(0.473620028, 34.82641205)",WESTERN,38
KAKAMEGA SOUTH,29661,4793,1814,2,193,6123,117054,4551,639,Kakamega,"(0.190561619, 34.7077479)",WESTERN,39
KALOLENI,54501,10424,105773,,826,532,158360,24463,1441,Kilifi,"(-3.768179495, 39.54477529)",COAST,40
KANGUNDO,71168,33887,85250,3,1256,820,188423,29678,4248,Machakos,"(-1.237582196, 37.27203719)",EASTERN,41
KEIYO,97350,89881,64177,4,2737,393,166025,16567,27682,Elgeyo Marakwet,"(0.489045271, 35.57039657)",RIFE VALLEY,42
KERICHO,130712,16000,46176,2,9070,490,237377,33681,2720,Kericho,"(-0.34219841, 35.21130866)",RIFE VALLEY,43
KIAMBU EAST(KIAMBAA),28767,11057,10459,110,1028,9885,91032,185126,2909,Kiambu,"(-1.158558742, 36.80546766)",CENTRAL,44
KIAMBU WEST,22484,19745,5765,,3444,1260,61827,186631,913,Kiambu,"(-1.139177531, 36.62625892)",CENTRAL,45
KIBWEZI,64791,29657,253037,2,4826,444,180986,12114,32905,Makueni,"(-2.468788914, 38.02538524)",EASTERN,46
KIKUYU,32758,17304,9499,,3381,18820,110976,399043,1379,Kiambu,"(-1.236882983, 36.63360077)",CENTRAL,47
KILIFI,66502,17440,193040,6,1029,1435,276720,115548,1746,Kilifi,"(-3.494969907, 39.60114414)",COAST,48
KILINDINI,4509,1397,14397,1,917,438,44182,79450,535,Mombasa,"(-4.0383, 39.6365)",COAST,49
KINANGO,84133,46081,170326,552,723,120,129011,6619,1991,Kwale ,"(-3.96233059, 39.10335046)",COAST,50
KIPKELION,88104,35276,26783,,10503,250,172350,10129,10020,Kericho,"(-0.155533799, 35.47881562)",RIFE VALLEY,51
KIRINYAGA,144112,27642,101596,7,3990,10606,465455,82458,10227,Kirinyaga,"(-0.519266797, 37.32018369)",CENTRAL,52
