Commodity,Type,Kgs,Kshs,Date,OBJECTID
Flowers,"CARNATIONS, STD",3410989.59,2209674948,01/01/2014 12:00:00 AM,65
Flowers,"CARNATIONS, SPRAY",0,0,01/01/2014 12:00:00 AM,66
Flowers,CUTTINGS,1221831.37,6142182153,01/01/2014 12:00:00 AM,67
Flowers,ROSES,98144995.4,42121561505,01/01/2014 12:00:00 AM,68
Flowers,MIXED FLOWERS,1333425.36,584153394,01/01/2014 12:00:00 AM,69
Fruits,AVOCADO,15242756,873296576,01/01/2005 12:00:00 AM,70
Fruits,PASSION FRUIT,1035389.38,944249012,01/01/2005 12:00:00 AM,71
Fruits,MANGO,1002129.44,92566760,01/01/2005 12:00:00 AM,72
Fruits,AVOCADO,12960176,586659456,01/01/2006 12:00:00 AM,73
Fruits,PASSION FRUIT,1068794.59,1032526832,01/01/2006 12:00:00 AM,74
Fruits,MANGO,1182181.38,88643232,01/01/2006 12:00:00 AM,75
Fruits,AVOCADO,13184490,758795456,01/01/2007 12:00:00 AM,76
Fruits,PASSION FRUIT,1291013.08,910565940,01/01/2007 12:00:00 AM,77
Fruits,MANGO,962998.75,95952128,01/01/2007 12:00:00 AM,78
Fruits,AVOCADO,14639239,1598501760,01/01/2008 12:00:00 AM,79
Fruits,PASSION FRUIT,1235800.63,323136751,01/01/2008 12:00:00 AM,80
Fruits,MANGO,1037686.25,128585328,01/01/2008 12:00:00 AM,81
Fruits,AVOCADO,18409520.8,1766547981,01/01/2009 12:00:00 AM,82
Fruits,PASSION FRUIT,831329.71,274817529,01/01/2009 12:00:00 AM,83
Fruits,MANGO,1788724.45,211570965,01/01/2009 12:00:00 AM,84
Fruits,AVOCADO,15953153,1530458880,01/01/2010 12:00:00 AM,85
Fruits,PASSION FRUIT,728359.44,165033104,01/01/2010 12:00:00 AM,86
Fruits,MANGO,2532257,341123776,01/01/2010 12:00:00 AM,87
Fruits,AVOCADO,21486554.66,7539579,01/01/2011 12:00:00 AM,88
Fruits,PASSION FRUIT,987433.36,325356478,01/01/2011 12:00:00 AM,89
Fruits,MANGO,4435452.4,764482007,01/01/2011 12:00:00 AM,90
Fruits,AVOCADO,23827804.42,2461648586,01/01/2012 12:00:00 AM,91
Fruits,PASSION FRUIT,609382.66,165391055,01/01/2012 12:00:00 AM,92
Fruits,MANGO,4937467.72,727872707,01/01/2012 12:00:00 AM,93
Fruits,AVOCADO,22595234.44,2229289517,01/01/2013 12:00:00 AM,94
Fruits,PASSION FRUIT,761925.99,237075708,01/01/2013 12:00:00 AM,95
Fruits,MANGO,6430055.02,1039915729,01/01/2013 12:00:00 AM,96
Fruits,AVOCADO,25693895.45,2837485145,01/01/2014 12:00:00 AM,97
Fruits,PASSION FRUIT,652254.36,187751975,01/01/2014 12:00:00 AM,98
Fruits,MANGO,7438780.39,1111784629,01/01/2014 12:00:00 AM,99
Vegetables,BEANS FINE,14952361,3884494592,01/01/2005 12:00:00 AM,100
Vegetables,BEANS X-FINE,4212703,933692416,01/01/2005 12:00:00 AM,101
Vegetables,BEANS RUNNER,5310352,1145274112,01/01/2005 12:00:00 AM,102
Vegetables,PEAS SNAP,1593539.5,448461728,01/01/2005 12:00:00 AM,103
Vegetables,PEAS SNOW,2419518.75,751034944,01/01/2005 12:00:00 AM,104
Vegetables,DUDHI,133479,54543976,01/01/2005 12:00:00 AM,105
Vegetables,OKRA,1542017.5,343715584,01/01/2005 12:00:00 AM,106
Vegetables,BEANS FINE,13155365,3776531456,01/01/2006 12:00:00 AM,107
Vegetables,BEANS X-FINE,4732813.5,879994560,01/01/2006 12:00:00 AM,108
Vegetables,BEANS RUNNER,3683050.5,716971968,01/01/2006 12:00:00 AM,109
Vegetables,PEAS SNAP,1756248.25,513220960,01/01/2006 12:00:00 AM,110
Vegetables,PEAS SNOW,2644365.75,843688192,01/01/2006 12:00:00 AM,111
Vegetables,DUDHI,98056.5,19709632,01/01/2006 12:00:00 AM,112
Vegetables,OKRA,1019885.5,207099024,01/01/2006 12:00:00 AM,113
